"Gewässer","","'=","Donau 8427",""
"Messstelle","","'=","Immendingen CQQ105 2187",""
"","","'=","Ulm-Wiblingen CQQ803 2198",""
"Parameter","","'=","4 T Temperatur Grad Celsius",""
"Zeitraum","","'=","Tue Dec 01 00:00:00 CET 2015 Sat Aug 31 23:59:59 CEST 2024",""


"Gewässer","GCODE","Messstelle","Ost","Nord","Parameter","Datum","Tagesmittelwert","Dimension"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.02.2016","4,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.02.2016","5,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.02.2016","5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.02.2016","5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","09.02.2016","5,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","10.02.2016","4,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","11.02.2016","4,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","12.02.2016","4,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","13.02.2016","4,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","14.02.2016","4,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","15.02.2016","4,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","16.02.2016","4,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","17.02.2016","4,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","18.02.2016","4,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","19.02.2016","4,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","20.02.2016","4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","21.02.2016","4,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","22.02.2016","6,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","23.02.2016","6,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","24.02.2016","5,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","25.02.2016","4,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","26.02.2016","4,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","27.02.2016","4,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","28.02.2016","4,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","29.02.2016","4,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","01.03.2016","4,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","02.03.2016","4,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","03.03.2016","4,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","04.03.2016","4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.03.2016","4,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.03.2016","4,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.03.2016","4,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.03.2016","4,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","09.03.2016","4,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","10.03.2016","4,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","11.03.2016","5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","12.03.2016","5,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","13.03.2016","5,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","14.03.2016","5,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","15.03.2016","4,8","°C"
