station_id,parameter_id,feature_id,unit,date,value,dt_loc_estimated,latitude,longitude
vamnao,tss,hightide,g/m3,2019-01-26,19.3,2019-01-26 11:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2019-01-27,21.2,2019-01-27 11:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-01,31.4,2020-01-01 10:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-02,30.0,2020-01-02 10:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-03,20.4,2020-01-03 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-04,30.8,2020-01-04 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-05,32.7,2020-01-05 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-06,15.5,2020-01-06 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-07,20.0,2020-01-07 18:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-08,30.4,2020-01-08 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-09,24.8,2020-01-09 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-10,21.6,2020-01-10 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-11,26.0,2020-01-11 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-12,8.2,2020-01-12 07:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-13,35.2,2020-01-13 08:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-14,20.6,2020-01-14 09:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-15,18.9,2020-01-15 09:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-16,25.5,2020-01-16 11:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-17,27.2,2020-01-17 12:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-18,28.3,2020-01-18 13:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-19,15.6,2020-01-19 15:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-20,20.4,2020-01-20 18:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-21,17.6,2020-01-21 18:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-22,45.6,2020-01-22 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-23,42.7,2020-01-23 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-24,40.8,2020-01-24 06:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-25,26.6,2020-01-25 07:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-26,33.2,2020-01-26 08:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-27,30.3,2020-01-27 08:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-28,24.4,2020-01-28 09:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-29,17.2,2020-01-29 09:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-30,26.7,2020-01-30 10:00:00+07:00,10.578433,105.366767
vamnao,tss,hightide,g/m3,2020-01-31,26.0,2020-01-31 11:00:00+07:00,10.578433,105.366767
tanchau,tss,hightide,g/m3,2016-01-01,13.2,2016-01-01 12:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-02,12.4,2016-01-02 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-03,10.2,2016-01-03 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-04,6.7,2016-01-04 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-05,10.8,2016-01-05 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-06,14.1,2016-01-06 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-07,9.2,2016-01-07 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-08,8.6,2016-01-08 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-09,9.6,2016-01-09 07:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-10,11.7,2016-01-10 08:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-11,13.6,2016-01-11 08:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-12,5.5,2016-01-12 09:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-13,12.1,2016-01-13 10:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-14,10.1,2016-01-14 10:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-15,11.9,2016-01-15 11:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-16,12.4,2016-01-16 12:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-17,11.3,2016-01-17 14:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-18,11.4,2016-01-18 15:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-19,10.5,2016-01-19 18:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-20,8.2,2016-01-20 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-21,11.5,2016-01-21 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-22,10.1,2016-01-22 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-23,9.5,2016-01-23 07:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-24,9.5,2016-01-24 08:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-25,10.6,2016-01-25 08:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-26,11.9,2016-01-26 09:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-27,10.8,2016-01-27 10:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-28,11.1,2016-01-28 11:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-29,11.9,2016-01-29 11:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-30,12.7,2016-01-30 12:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2016-01-31,10.4,2016-01-31 13:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2019-01-29,14.8,2019-01-29 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-01,17.2,2020-01-01 11:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-02,13.4,2020-01-02 12:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-03,14.3,2020-01-03 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-04,10.6,2020-01-04 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-05,11.2,2020-01-05 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-06,12.0,2020-01-06 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-07,14.4,2020-01-07 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-08,16.2,2020-01-08 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-09,19.3,2020-01-09 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-10,14.1,2020-01-10 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-11,13.8,2020-01-11 07:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-12,19.6,2020-01-12 08:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-13,11.2,2020-01-13 09:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-14,15.6,2020-01-14 10:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-15,31.1,2020-01-15 10:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-16,16.6,2020-01-16 11:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-17,13.6,2020-01-17 13:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-18,17.3,2020-01-18 14:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-19,16.9,2020-01-19 16:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-20,16.6,2020-01-20 18:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-21,15.7,2020-01-21 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-22,14.4,2020-01-22 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-23,12.1,2020-01-23 06:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-24,3.6,2020-01-24 07:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-25,15.2,2020-01-25 08:00:00+07:00,10.802175,105.248952
