,river,station_id,name,temperature,dt64,geometry
62,Rhein,CXX334,Iffezheim,12.5,1992-05-01,POINT (8.109691899961788 48.83126839719035)
63,Rhein,CXX334,Iffezheim,11.7,1992-05-02,POINT (8.109691899961788 48.83126839719035)
64,Rhein,CXX334,Iffezheim,11.3,1992-05-03,POINT (8.109691899961788 48.83126839719035)
65,Rhein,CXX334,Iffezheim,11.6,1992-05-04,POINT (8.109691899961788 48.83126839719035)
66,Rhein,CXX334,Iffezheim,11.5,1992-05-05,POINT (8.109691899961788 48.83126839719035)
67,Rhein,CXX334,Iffezheim,11.5,1992-05-06,POINT (8.109691899961788 48.83126839719035)
68,Rhein,CXX334,Iffezheim,12.0,1992-05-07,POINT (8.109691899961788 48.83126839719035)
69,Rhein,CXX334,Iffezheim,12.5,1992-05-08,POINT (8.109691899961788 48.83126839719035)
70,Rhein,CXX334,Iffezheim,12.9,1992-05-09,POINT (8.109691899961788 48.83126839719035)
71,Rhein,CXX334,Iffezheim,13.4,1992-05-10,POINT (8.109691899961788 48.83126839719035)
72,Rhein,CXX334,Iffezheim,13.8,1992-05-11,POINT (8.109691899961788 48.83126839719035)
73,Rhein,CXX334,Iffezheim,14.6,1992-05-13,POINT (8.109691899961788 48.83126839719035)
74,Rhein,CXX334,Iffezheim,14.8,1992-05-14,POINT (8.109691899961788 48.83126839719035)
75,Rhein,CXX334,Iffezheim,15.4,1992-05-15,POINT (8.109691899961788 48.83126839719035)
76,Rhein,CXX334,Iffezheim,16.0,1992-05-16,POINT (8.109691899961788 48.83126839719035)
77,Rhein,CXX334,Iffezheim,16.7,1992-05-17,POINT (8.109691899961788 48.83126839719035)
78,Rhein,CXX334,Iffezheim,16.8,1992-05-18,POINT (8.109691899961788 48.83126839719035)
79,Rhein,CXX334,Iffezheim,16.9,1992-05-19,POINT (8.109691899961788 48.83126839719035)
80,Rhein,CXX334,Iffezheim,16.8,1992-05-20,POINT (8.109691899961788 48.83126839719035)
81,Rhein,CXX334,Iffezheim,16.7,1992-05-21,POINT (8.109691899961788 48.83126839719035)
82,Rhein,CXX334,Iffezheim,16.7,1992-05-22,POINT (8.109691899961788 48.83126839719035)
83,Rhein,CXX334,Iffezheim,16.3,1992-05-23,POINT (8.109691899961788 48.83126839719035)
84,Rhein,CXX334,Iffezheim,16.3,1992-05-24,POINT (8.109691899961788 48.83126839719035)
85,Rhein,CXX334,Iffezheim,17.1,1992-05-25,POINT (8.109691899961788 48.83126839719035)
86,Rhein,CXX334,Iffezheim,17.8,1992-05-26,POINT (8.109691899961788 48.83126839719035)
87,Rhein,CXX334,Iffezheim,17.9,1992-05-27,POINT (8.109691899961788 48.83126839719035)
88,Rhein,CXX334,Iffezheim,18.2,1992-05-28,POINT (8.109691899961788 48.83126839719035)
89,Rhein,CXX334,Iffezheim,18.0,1992-05-29,POINT (8.109691899961788 48.83126839719035)
90,Rhein,CXX334,Iffezheim,18.1,1992-05-30,POINT (8.109691899961788 48.83126839719035)
91,Rhein,CXX334,Iffezheim,18.5,1992-05-31,POINT (8.109691899961788 48.83126839719035)
92,Rhein,CXX334,Iffezheim,18.7,1992-06-01,POINT (8.109691899961788 48.83126839719035)
93,Rhein,CXX334,Iffezheim,18.7,1992-06-02,POINT (8.109691899961788 48.83126839719035)
94,Rhein,CXX334,Iffezheim,19.0,1992-06-03,POINT (8.109691899961788 48.83126839719035)
95,Rhein,CXX334,Iffezheim,18.7,1992-06-04,POINT (8.109691899961788 48.83126839719035)
96,Rhein,CXX334,Iffezheim,18.5,1992-06-05,POINT (8.109691899961788 48.83126839719035)
97,Rhein,CXX334,Iffezheim,17.8,1992-06-06,POINT (8.109691899961788 48.83126839719035)
98,Rhein,CXX334,Iffezheim,17.8,1992-06-07,POINT (8.109691899961788 48.83126839719035)
99,Rhein,CXX334,Iffezheim,17.7,1992-06-08,POINT (8.109691899961788 48.83126839719035)
100,Rhein,CXX334,Iffezheim,16.7,1992-06-09,POINT (8.109691899961788 48.83126839719035)
101,Rhein,CXX334,Iffezheim,17.2,1992-06-10,POINT (8.109691899961788 48.83126839719035)
102,Rhein,CXX334,Iffezheim,17.7,1992-06-11,POINT (8.109691899961788 48.83126839719035)
103,Rhein,CXX334,Iffezheim,17.3,1992-06-12,POINT (8.109691899961788 48.83126839719035)
104,Rhein,CXX334,Iffezheim,17.4,1992-06-13,POINT (8.109691899961788 48.83126839719035)
105,Rhein,CXX334,Iffezheim,17.9,1992-06-14,POINT (8.109691899961788 48.83126839719035)
106,Rhein,CXX334,Iffezheim,18.1,1992-06-15,POINT (8.109691899961788 48.83126839719035)
107,Rhein,CXX334,Iffezheim,18.5,1992-06-16,POINT (8.109691899961788 48.83126839719035)
108,Rhein,CXX334,Iffezheim,19.0,1992-06-17,POINT (8.109691899961788 48.83126839719035)
109,Rhein,CXX334,Iffezheim,19.1,1992-06-18,POINT (8.109691899961788 48.83126839719035)
110,Rhein,CXX334,Iffezheim,19.2,1992-06-19,POINT (8.109691899961788 48.83126839719035)
111,Rhein,CXX334,Iffezheim,18.9,1992-06-20,POINT (8.109691899961788 48.83126839719035)
112,Rhein,CXX334,Iffezheim,19.1,1992-06-21,POINT (8.109691899961788 48.83126839719035)
113,Rhein,CXX334,Iffezheim,19.0,1992-06-22,POINT (8.109691899961788 48.83126839719035)
114,Rhein,CXX334,Iffezheim,18.5,1992-06-23,POINT (8.109691899961788 48.83126839719035)
115,Rhein,CXX334,Iffezheim,18.6,1992-06-24,POINT (8.109691899961788 48.83126839719035)
116,Rhein,CXX334,Iffezheim,19.0,1992-06-25,POINT (8.109691899961788 48.83126839719035)
117,Rhein,CXX334,Iffezheim,19.0,1992-06-26,POINT (8.109691899961788 48.83126839719035)
118,Rhein,CXX334,Iffezheim,18.9,1992-06-27,POINT (8.109691899961788 48.83126839719035)
119,Rhein,CXX334,Iffezheim,18.9,1992-06-28,POINT (8.109691899961788 48.83126839719035)
120,Rhein,CXX334,Iffezheim,18.9,1992-06-29,POINT (8.109691899961788 48.83126839719035)
121,Rhein,CXX334,Iffezheim,19.7,1992-06-30,POINT (8.109691899961788 48.83126839719035)
122,Rhein,CXX334,Iffezheim,20.4,1992-07-01,POINT (8.109691899961788 48.83126839719035)
123,Rhein,CXX334,Iffezheim,20.8,1992-07-02,POINT (8.109691899961788 48.83126839719035)
124,Rhein,CXX334,Iffezheim,21.1,1992-07-03,POINT (8.109691899961788 48.83126839719035)
125,Rhein,CXX334,Iffezheim,21.1,1992-07-04,POINT (8.109691899961788 48.83126839719035)
126,Rhein,CXX334,Iffezheim,20.6,1992-07-05,POINT (8.109691899961788 48.83126839719035)
127,Rhein,CXX334,Iffezheim,20.1,1992-07-06,POINT (8.109691899961788 48.83126839719035)
128,Rhein,CXX334,Iffezheim,19.8,1992-07-07,POINT (8.109691899961788 48.83126839719035)
129,Rhein,CXX334,Iffezheim,19.5,1992-07-08,POINT (8.109691899961788 48.83126839719035)
130,Rhein,CXX334,Iffezheim,19.4,1992-07-09,POINT (8.109691899961788 48.83126839719035)
131,Rhein,CXX334,Iffezheim,20.0,1992-07-10,POINT (8.109691899961788 48.83126839719035)
132,Rhein,CXX334,Iffezheim,20.1,1992-07-11,POINT (8.109691899961788 48.83126839719035)
133,Rhein,CXX334,Iffezheim,20.1,1992-07-12,POINT (8.109691899961788 48.83126839719035)
134,Rhein,CXX334,Iffezheim,19.9,1992-07-13,POINT (8.109691899961788 48.83126839719035)
135,Rhein,CXX334,Iffezheim,19.4,1992-07-14,POINT (8.109691899961788 48.83126839719035)
136,Rhein,CXX334,Iffezheim,19.3,1992-07-15,POINT (8.109691899961788 48.83126839719035)
137,Rhein,CXX334,Iffezheim,19.8,1992-07-16,POINT (8.109691899961788 48.83126839719035)
138,Rhein,CXX334,Iffezheim,20.7,1992-07-17,POINT (8.109691899961788 48.83126839719035)
139,Rhein,CXX334,Iffezheim,21.0,1992-07-18,POINT (8.109691899961788 48.83126839719035)
140,Rhein,CXX334,Iffezheim,21.2,1992-07-19,POINT (8.109691899961788 48.83126839719035)
141,Rhein,CXX334,Iffezheim,22.0,1992-07-20,POINT (8.109691899961788 48.83126839719035)
142,Rhein,CXX334,Iffezheim,22.5,1992-07-21,POINT (8.109691899961788 48.83126839719035)
143,Rhein,CXX334,Iffezheim,22.7,1992-07-22,POINT (8.109691899961788 48.83126839719035)
144,Rhein,CXX334,Iffezheim,22.7,1992-07-23,POINT (8.109691899961788 48.83126839719035)
145,Rhein,CXX334,Iffezheim,22.8,1992-07-24,POINT (8.109691899961788 48.83126839719035)
146,Rhein,CXX334,Iffezheim,22.6,1992-07-25,POINT (8.109691899961788 48.83126839719035)
147,Rhein,CXX334,Iffezheim,22.2,1992-07-26,POINT (8.109691899961788 48.83126839719035)
148,Rhein,CXX334,Iffezheim,22.4,1992-07-27,POINT (8.109691899961788 48.83126839719035)
149,Rhein,CXX334,Iffezheim,22.7,1992-07-28,POINT (8.109691899961788 48.83126839719035)
150,Rhein,CXX334,Iffezheim,22.3,1992-07-29,POINT (8.109691899961788 48.83126839719035)
151,Rhein,CXX334,Iffezheim,22.8,1992-07-30,POINT (8.109691899961788 48.83126839719035)
152,Rhein,CXX334,Iffezheim,23.4,1992-07-31,POINT (8.109691899961788 48.83126839719035)
153,Rhein,CXX334,Iffezheim,23.5,1992-08-01,POINT (8.109691899961788 48.83126839719035)
154,Rhein,CXX334,Iffezheim,23.5,1992-08-02,POINT (8.109691899961788 48.83126839719035)
155,Rhein,CXX334,Iffezheim,23.9,1992-08-03,POINT (8.109691899961788 48.83126839719035)
156,Rhein,CXX334,Iffezheim,24.0,1992-08-04,POINT (8.109691899961788 48.83126839719035)
157,Rhein,CXX334,Iffezheim,24.1,1992-08-05,POINT (8.109691899961788 48.83126839719035)
158,Rhein,CXX334,Iffezheim,24.4,1992-08-06,POINT (8.109691899961788 48.83126839719035)
159,Rhein,CXX334,Iffezheim,24.3,1992-08-07,POINT (8.109691899961788 48.83126839719035)
160,Rhein,CXX334,Iffezheim,24.7,1992-08-08,POINT (8.109691899961788 48.83126839719035)
161,Rhein,CXX334,Iffezheim,25.1,1992-08-09,POINT (8.109691899961788 48.83126839719035)
162,Rhein,CXX334,Iffezheim,25.0,1992-08-10,POINT (8.109691899961788 48.83126839719035)
163,Rhein,CXX334,Iffezheim,24.3,1992-08-11,POINT (8.109691899961788 48.83126839719035)
164,Rhein,CXX334,Iffezheim,23.7,1992-08-12,POINT (8.109691899961788 48.83126839719035)
165,Rhein,CXX334,Iffezheim,23.3,1992-08-13,POINT (8.109691899961788 48.83126839719035)
166,Rhein,CXX334,Iffezheim,22.6,1992-08-14,POINT (8.109691899961788 48.83126839719035)
167,Rhein,CXX334,Iffezheim,22.2,1992-08-15,POINT (8.109691899961788 48.83126839719035)
168,Rhein,CXX334,Iffezheim,21.9,1992-08-16,POINT (8.109691899961788 48.83126839719035)
