station_no;time;mean(cm)
2783721000100;2022-06-25T00:00:00.000+01:00;12.58
2783721000100;2022-06-26T00:00:00.000+01:00;12.71
2783721000100;2022-06-27T00:00:00.000+01:00;12.87
2783721000100;2022-06-28T00:00:00.000+01:00;12.88
2783721000100;2022-06-29T00:00:00.000+01:00;12.93
2783721000100;2022-06-30T00:00:00.000+01:00;12.85
2783721000100;2022-07-01T00:00:00.000+01:00;12.76
2783721000100;2022-07-02T00:00:00.000+01:00;12.86
2783721000100;2022-07-03T00:00:00.000+01:00;12.91
2783721000100;2022-07-04T00:00:00.000+01:00;12.86
2783721000100;2022-07-05T00:00:00.000+01:00;12.87
2783721000100;2022-07-06T00:00:00.000+01:00;12.86
2783721000100;2022-07-07T00:00:00.000+01:00;12.85
2783721000100;2022-07-08T00:00:00.000+01:00;12.84
2783721000100;2022-07-09T00:00:00.000+01:00;12.80
2783721000100;2022-07-10T00:00:00.000+01:00;12.69
2783721000100;2022-07-11T00:00:00.000+01:00;12.69
2783721000100;2022-07-12T00:00:00.000+01:00;12.70
2783721000100;2022-07-13T00:00:00.000+01:00;12.67
2783721000100;2022-07-14T00:00:00.000+01:00;12.64
2783721000100;2022-07-15T00:00:00.000+01:00;12.70
2783721000100;2022-07-16T00:00:00.000+01:00;12.80
2783721000100;2022-07-17T00:00:00.000+01:00;12.81
2783721000100;2022-07-18T00:00:00.000+01:00;12.78
2783721000100;2022-07-19T00:00:00.000+01:00;12.75
2783721000100;2022-07-20T00:00:00.000+01:00;12.86
2783721000100;2022-07-21T00:00:00.000+01:00;12.88
2783721000100;2022-07-22T00:00:00.000+01:00;13.03
2783721000100;2022-07-23T00:00:00.000+01:00;13.34
2783721000100;2022-07-24T00:00:00.000+01:00;13.38
2783721000100;2022-07-25T00:00:00.000+01:00;13.32
2783721000100;2022-07-26T00:00:00.000+01:00;13.26
2783721000100;2022-07-27T00:00:00.000+01:00;13.28
2783721000100;2022-07-28T00:00:00.000+01:00;13.33
2783721000100;2022-07-29T00:00:00.000+01:00;13.31
2783721000100;2022-07-30T00:00:00.000+01:00;13.20
2783721000100;2022-07-31T00:00:00.000+01:00;13.19
2783721000100;2022-08-01T00:00:00.000+01:00;13.15
2783721000100;2022-08-02T00:00:00.000+01:00;13.23
2783721000100;2022-08-03T00:00:00.000+01:00;13.37
2783721000100;2022-08-04T00:00:00.000+01:00;13.42
2783721000100;2022-08-05T00:00:00.000+01:00;13.39
2783721000100;2022-08-06T00:00:00.000+01:00;13.47
2783721000100;2022-08-07T00:00:00.000+01:00;13.64
2783721000100;2022-08-08T00:00:00.000+01:00;13.59
2783721000100;2022-08-09T00:00:00.000+01:00;13.47
2783721000100;2022-08-10T00:00:00.000+01:00;13.38
2783721000100;2022-08-11T00:00:00.000+01:00;13.32
2783721000100;2022-08-12T00:00:00.000+01:00;13.31
2783721000100;2022-08-13T00:00:00.000+01:00;13.33
2783721000100;2022-08-14T00:00:00.000+01:00;13.36
2783721000100;2022-08-15T00:00:00.000+01:00;13.35
2783721000100;2022-08-16T00:00:00.000+01:00;13.43
2783721000100;2022-08-17T00:00:00.000+01:00;13.50
2783721000100;2022-08-18T00:00:00.000+01:00;13.52
2783721000100;2022-08-19T00:00:00.000+01:00;13.58
2783721000100;2022-08-20T00:00:00.000+01:00;13.58
2783721000100;2022-08-21T00:00:00.000+01:00;13.45
2783721000100;2022-08-22T00:00:00.000+01:00;13.51
2783721000100;2022-08-23T00:00:00.000+01:00;13.54
2783721000100;2022-08-24T00:00:00.000+01:00;13.53
2783721000100;2022-08-25T00:00:00.000+01:00;13.51
2783721000100;2022-08-26T00:00:00.000+01:00;13.50
2783721000100;2022-08-27T00:00:00.000+01:00;13.51
2783721000100;2022-08-28T00:00:00.000+01:00;13.51
2783721000100;2022-08-29T00:00:00.000+01:00;13.52
2783721000100;2022-08-30T00:00:00.000+01:00;13.51
2783721000100;2022-08-31T00:00:00.000+01:00;13.45
2783721000100;2022-09-01T00:00:00.000+01:00;13.33
2783721000100;2022-09-02T00:00:00.000+01:00;13.29
2783721000100;2022-09-03T00:00:00.000+01:00;13.19
2783721000100;2022-09-04T00:00:00.000+01:00;13.15
2783721000100;2022-09-05T00:00:00.000+01:00;13.08
2783721000100;2022-09-06T00:00:00.000+01:00;13.06
2783721000100;2022-09-07T00:00:00.000+01:00;13.02
2783721000100;2022-09-08T00:00:00.000+01:00;12.99
2783721000100;2022-09-09T00:00:00.000+01:00;13.02
2783721000100;2022-09-10T00:00:00.000+01:00;13.05
2783721000100;2022-09-11T00:00:00.000+01:00;13.04
2783721000100;2022-09-12T00:00:00.000+01:00;13.07
2783721000100;2022-09-13T00:00:00.000+01:00;13.08
2783721000100;2022-09-14T00:00:00.000+01:00;12.98
