system:index,B1_max,B1_mean,B1_median,B1_min,B1_stdDev,B2_max,B2_mean,B2_median,B2_min,B2_stdDev,B3_max,B3_mean,B3_median,B3_min,B3_stdDev,B4_max,B4_mean,B4_median,B4_min,B4_stdDev,B5_max,B5_mean,B5_median,B5_min,B5_stdDev,CLOUD_COVER,add_ndssi_max,add_ndssi_mean,add_ndssi_median,add_ndssi_min,add_ndssi_stdDev,add_ndti_max,add_ndti_mean,add_ndti_median,add_ndti_min,add_ndti_stdDev,add_nsmi_max,add_nsmi_mean,add_nsmi_median,add_nsmi_min,add_nsmi_stdDev,add_spm_B4_nechad_max,add_spm_B4_nechad_mean,add_spm_B4_nechad_median,add_spm_B4_nechad_min,add_spm_B4_nechad_stdDev,add_spm_B5_nechad_max,add_spm_B5_nechad_mean,add_spm_B5_nechad_median,add_spm_B5_nechad_min,add_spm_B5_nechad_stdDev,add_tur_B4_nechad_max,add_tur_B4_nechad_mean,add_tur_B4_nechad_median,add_tur_B4_nechad_min,add_tur_B4_nechad_stdDev,add_tur_B5_nechad_max,add_tur_B5_nechad_mean,add_tur_B5_nechad_median,add_tur_B5_nechad_min,add_tur_B5_nechad_stdDev,add_tur_dogliotti_max,add_tur_dogliotti_mean,add_tur_dogliotti_median,add_tur_dogliotti_min,add_tur_dogliotti_stdDev,cloudiness_500m,platform,roi_coverage,station_id,system:time_start,timestamp,.geo
1_2_1_LC08_130046_20220725_0,0.013962556398992625,0.012557654821097294,0.012988534452378308,0.0054819982013907635,0.001412378285322596,0.01755538775744969,0.01559686553358047,0.016384228458108028,4.901698465358312E-4,0.0028505401583360773,0.03174922191589226,0.02685235097271471,0.0297039766370018,3.837326993078658E-4,0.007885329027523053,0.04224714847485026,0.035457665947869296,0.04019517003108195,2.5194755710725104E-4,0.011053517314573878,0.10140513926424642,0.023560059339902475,0.01407542316563349,0.007570853726495874,0.02024550808434466,20.9,0.10481300769912519,0.017824403949022634,0.08490063952831402,-0.9790142113942331,0.19632098077858692,0.8575170129118734,0.17980864839803185,0.15142158910198875,0.06688324465377915,0.1258359586883392,0.9657706515987532,0.6349545320169059,0.6208981226339908,0.6160325260136092,0.05440103131832873,180.43723155804093,122.6168926191586,145.52471586282618,0.2300578749206592,52.5802694672169,22605.65476023265,152.84934760248967,162.284400328017,-92689.6061885161,10710.58348502216,146.7748257120474,99.74146071810432,118.37559589629872,0.18713823196906054,42.77088392625206,16044.535997986746,108.48599104464478,115.18259172722868,-65787.15542214873,7601.918374299358,146.7748257120474,99.74146071810432,118.37559589629872,0.18713823196906054,42.77088392625206,4.1503603860052455E-4,LANDSAT-8,90.49984819941038,010501,1.65872056237E12,2022-07-25T03:42:42.370,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
1_2_2_LC09_130046_20220919_0,0.020187059399020053,0.016134972920900527,0.01654319596793305,0.002949393522068881,0.0026625780493834354,0.02308075409580874,0.01753256004784456,0.018161994922757482,0.0016850581306725497,0.0038955624932559487,0.037760086636689935,0.026208486005776768,0.027367738935408902,9.175939034107463E-7,0.009267600211574942,0.0548934397861634,0.036000413081358165,0.03630218232346468,0.0010699876204161142,0.013839082529780448,0.10366143210923798,0.031676925810211094,0.025757185758060255,0.008630610431372277,0.01734076794051898,44.19,-0.015685988384958247,-0.19779804810724716,-0.13617499786450138,-0.9199676420555359,0.18642054371137426,0.6767486115438766,0.1510736336730126,0.15397347404235903,-0.6683944377489253,0.11923498531213907,0.9370033393801741,0.5699742998076334,0.5687784796145088,0.21140304207693886,0.06972245534180355,8404.905929054315,-86.0161050195508,87.14218833043005,-8748.105571029426,2147.3204924704564,10310.09957165614,243.27765428739835,355.22028334892747,-25145.693381663485,3244.663280199009,6836.885005444576,-69.96892334059491,70.88492432478411,-7116.057253878961,1746.7159538461322,7317.671860196197,172.668171885315,252.1203072353858,-17847.347795746155,2302.9245271886543,5756.265655192272,-7.976622364387657,70.88492432478411,-5608.86862768693,1409.9778145959472,0.05781169532443433,LANDSAT-9,92.1634692270754,010501,1.663558960681E12,2022-09-19T03:42:40.681,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
2_LE07_130046_20000602_0,0.023633221703156758,0.019294882075431775,0.02070440254287181,0.0021103506898153624,0.004485230380352239,0.035959891573604436,0.030896663598290925,0.03333256153686481,9.589537849163498E-4,0.008037528613649448,0.0473594542459887,0.04153584766531192,0.044416154150129596,0.009148924713337416,0.009031538382434864,0.038207020770643245,0.02783228173757092,0.028788705189084964,0.007897162791728363,0.0046405826767064486,,,,,,48.0,-0.10103710393940073,-0.2123816017404668,-0.16594908224287686,-0.8932006597273074,0.15323232208836957,0.8102561709498155,0.15773797340475304,0.14415923433260439,0.11500997053991555,0.09213558669807238,0.87821429752393,0.5986900941894797,0.5802971695598079,0.5480991435379935,0.06027842261960456,665.46952583415,365.11998142952314,377.64229698441557,66.9381868216881,87.99897020913299,,,,,,473.56927408558374,259.83098826799477,268.7422661807853,47.635342132334316,62.62286524688193,,,,,,302.4080152292951,185.52734571023154,202.57953080415325,9.43305101953758,69.9533586375068,0.0,LANDSAT-7,99.84304607432045,010501,9.59916855627E11,2000-06-02T03:34:15.627,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
2_LE07_130046_20000821_0,0.024450978611538138,0.021221340207997777,0.02143968428156745,0.0074241906920392755,0.002329275899226316,0.037071150608850044,0.033868080693838704,0.034765128178289785,0.0022538676283516035,0.0039253706635917485,0.054314408857305124,0.04927022000146829,0.05137873954350427,0.001017905135275436,0.009332292508255428,0.0552955814685826,0.05047550990857764,0.053159496518562485,0.0012788879427569901,0.008889496502596027,,,,,,28.0,-0.3811774467089193,-0.4307284387562992,-0.4245895762701754,-0.7242268299743995,0.045183921301525036,0.5659070421135171,0.20218663852139457,0.19748367643886228,0.17713246684642936,0.03685199864353176,0.7515279685196814,0.6034080632012494,0.6003085130732682,0.5694809992599467,0.022239944872604757,2376.4334520214197,1792.182646911498,1930.51018926318,9.747533878457874,471.6071074954883,,,,,,1691.1456063683943,1275.3741564090478,1373.8124338574655,6.936655043910116,335.6106130784762,,,,,,5284.578570113125,999.4958739842241,765.3892090892853,0.8906023404688179,683.5223711259345,0.06732710272250604,LANDSAT-7,99.84304607432045,010501,9.66828802822E11,2000-08-21T03:33:22.822,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
2_LE07_130046_20001109_0,0.023413600647062802,0.01747754325274251,0.018526733531646685,7.644630815815838E-4,0.004396139604488735,0.03519312836432973,0.02717821625717113,0.02921357870519512,0.006988996259426162,0.006477356838084205,0.04592939552828531,0.03614008765274928,0.03831340088713248,0.015763985494817088,0.006978031195219962,0.03980302474027589,0.02382808025294086,0.025222240284779884,0.0024747763920031723,0.005138699830303556,,,,,,7.0,0.12094401121253762,-0.18309619478648415,-0.15330884106281684,-0.9408437128291949,0.16614567214872733,0.41683716328890497,0.1510115170313244,0.13509727531132001,0.09812378376555983,0.05518018504754407,0.946355247011379,0.5894896138808124,0.5709695962073905,0.5350843480695789,0.07361446465457168,734.0401052651027,287.91044823134456,302.5735874038236,19.21236794373886,90.63949548646058,,,,,,522.3662787027976,204.88622946282482,215.32098553226706,13.672131911941335,64.50194699329393,,,,,,245.55247612006383,105.22886836324236,109.73531563321087,19.013716270982503,41.0927587638815,0.0,LANDSAT-7,90.29136956639043,010501,9.73740760062E11,2000-11-09T03:32:40.062,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
2_LE07_130046_20010418_0,0.024702248414376616,0.021175620163409316,0.021912631642084637,8.791716464558315E-4,0.003317003264003875,0.030207034330132023,0.025814690839081562,0.027125187527452587,4.4644141571309953E-4,0.004789843221376888,0.02967433679241563,0.024847461680521484,0.02589053419630323,0.001186015887805422,0.004646190075504003,0.038956945646672354,0.014159856534462894,0.015834637120262455,3.237820688838378E-4,0.00624128641723193,,,,,,0.0,0.20815702062167896,0.10780511163362583,0.14951323609367664,-0.8906500005652208,0.1432983511720982,0.8191008144583339,-0.0011554223769159805,-0.019314898141682857,-0.04939171347208401,0.11239570436942682,0.9284863491796423,0.4262895517273477,0.4148299354449665,0.37968285262359064,0.06551189161338032,696.7150784523094,145.56448401857045,155.06402792347427,2.432446905931208,92.85143921266068,,,,,,495.8046028231951,103.5883152469059,110.34849274045901,1.7310065611939887,66.07603648059485,,,,,,55.67236315229572,40.14993838361258,42.197801763214436,1.040947339621444,9.119656647000468,0.0,LANDSAT-7,96.39853217215295,010501,9.87564748391E11,2001-04-18T03:32:28.391,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
2_LE07_130046_20011112_0,0.02405919785363232,0.019905220252997208,0.020697597943623386,0.0016910612236447874,0.003362027842824104,0.03468408123705488,0.029585924610380187,0.030865792114963025,3.897302370058409E-4,0.005173685928193069,0.04442005168235549,0.0393674011390063,0.04067954531981333,0.014343671732300297,0.004944521102726496,0.04480935560822469,0.03489642469335852,0.03601623567483712,0.01060818442507963,0.004664769978726201,,,,,,10.0,-0.2101069691183835,-0.2946437926099007,-0.2654803920303692,-0.8914043250242034,0.10629677443610837,0.40527561982362176,0.13890762611969784,0.1344237701771514,0.10044922499291602,0.03351272074291638,0.8827470802649798,0.5620367415025925,0.550966484742729,0.5192126264309521,0.04794939598570259,1013.2992695377364,562.2011268524938,582.8707085181115,94.24475363593436,109.29904077274504,,,,,,721.0959794213504,400.08019781207213,414.7893293425803,67.0675633265095,77.78067272444649,,,,,,202.6739895110839,130.2513015954197,136.15089119997145,16.691986453217766,29.86468973518943,0.0,LANDSAT-7,99.84304607432045,010501,1.005535849566E12,2001-11-12T03:30:49.566,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
2_LE07_130046_20011128_0,0.025555082690745662,0.02141053902080881,0.022629845046004248,0.001004077683557813,0.004732772651793835,0.034081792679199835,0.028552988532648597,0.031060745704078255,0.002398025866102099,0.0068977747847733546,0.0403351699064557,0.034311825385765694,0.03690698670865384,0.006166487736743966,0.007218108474401436,0.02950819193122729,0.024770990971690374,0.025919971763938256,0.004574361861847299,0.003627098522499603,,,,,,12.0,-0.007665277402442929,-0.09983047614494969,-0.06671571916911839,-0.9014914912294428,0.14157987654501972,0.5653999608372371,0.10781139024012452,0.0866692140635544,0.05884300904882495,0.0723447159103442,0.9281808100098843,0.5129348220143636,0.502963531043151,0.46431180317630405,0.060178134447844575,394.52038650852904,298.3340982707906,316.2327191218333,36.70755363036288,55.49799615744696,,,,,,280.7532513477874,212.30403026492033,225.04125797333657,26.12226232959157,39.49413869935394,,,,,,131.7658446241822,87.9431792929771,97.3599151310585,5.967427414948149,29.30756294663139,0.0,LANDSAT-7,98.60076132245,010501,1.006918254877E12,2001-11-28T03:30:54.877,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
2_LE07_130046_20011230_0,0.02338202302748171,0.020262636327936435,0.021141407353913625,0.001491309931163756,0.0033008160147658,0.030814817202218178,0.026262724474691492,0.02846100327769276,0.0027704672436514623,0.006304323145151012,0.036639618016127334,0.028865250171240826,0.03410744714273584,9.647029289572273E-4,0.010833266173425135,0.02647253020116031,0.018679650881672095,0.021949725596533874,1.2361923536478492E-4,0.006611059175079104,,,,,,24.0,0.04445627240082654,-0.05134632980654805,-0.024453232382891196,-0.679587646061385,0.08832344373019767,0.49925292115266895,0.10534921909819878,0.08545602476821555,7.68463187866598E-4,0.0745778669250318,0.8800438358689179,0.5095370419803096,0.49928420024198206,0.46812297359121924,0.04831653033739748,327.3840765066004,204.12338492877007,244.16264342278112,0.9259204257128032,82.96752758555225,,,,,,232.97691846079994,145.2606910939171,173.75390054053472,0.6589144158272212,59.04233069443009,,,,,,95.22509474245736,64.07786187082156,77.75315884942044,0.8432183805048277,29.215649938368806,0.0,LANDSAT-7,93.0582735652773,010501,1.009683057903E12,2001-12-30T03:30:57.903,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
2_LE07_130046_20020216_0,0.04504794509054054,0.024906262075116488,0.02781235402286785,1.1815153144081213E-4,0.013229990661130285,0.04556040049833482,0.027279492446258803,0.02984829894191766,0.003444500205349867,0.0127848286885941,0.04369154436283897,0.02702222308909507,0.029793334513256064,0.001222267397544814,0.01198110293362873,0.03814730213431541,0.026687893335474066,0.02793612373626335,0.007945351894823656,0.007675945418748399,,,,,,47.0,0.10723765245848324,-0.13418225735001219,-0.01871566304985484,-0.9743858546124274,0.23470270954341518,0.22969243056867245,0.009165503274758546,-0.006757915299479175,-0.18983673243587162,0.0558935422737379,0.9714532782321413,0.4087555884934461,0.3666343208526777,0.3291439761158866,0.09554911699218452,663.0513195992763,363.50097346749214,358.4481121504584,67.40165966551301,157.41894826849014,,,,,,471.8484016387157,258.6788507236693,255.08307394792118,47.965164144744904,112.02432893584405,,,,,,186.17855182034123,66.71933797290792,56.16248401450083,1.0734916836834891,49.08096905844589,0.0,LANDSAT-7,99.84304607432045,010501,1.013830274248E12,2002-02-16T03:31:14.248,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[100.08787541902701,20.272120083441134],[100.09402458118343,20.272120083441134],[100.09402458118343,20.273259916460358],[100.08787541902701,20.273259916460358],[100.08787541902701,20.272120083441134]]]}"
