system:index,B1_max,B1_mean,B1_median,B1_min,B1_stdDev,B2_max,B2_mean,B2_median,B2_min,B2_stdDev,B3_max,B3_mean,B3_median,B3_min,B3_stdDev,B4_max,B4_mean,B4_median,B4_min,B4_stdDev,B5_max,B5_mean,B5_median,B5_min,B5_stdDev,B6_max,B6_mean,B6_median,B6_min,B6_stdDev,B7_max,B7_mean,B7_median,B7_min,B7_stdDev,B8A_max,B8A_mean,B8A_median,B8A_min,B8A_stdDev,B8_max,B8_mean,B8_median,B8_min,B8_stdDev,CLOUD_COVER,add_ndssi_max,add_ndssi_mean,add_ndssi_median,add_ndssi_min,add_ndssi_stdDev,add_ndti_max,add_ndti_mean,add_ndti_median,add_ndti_min,add_ndti_stdDev,add_nsmi_max,add_nsmi_mean,add_nsmi_median,add_nsmi_min,add_nsmi_stdDev,add_spm_B4_nechad_max,add_spm_B4_nechad_mean,add_spm_B4_nechad_median,add_spm_B4_nechad_min,add_spm_B4_nechad_stdDev,add_spm_B5_nechad_max,add_spm_B5_nechad_mean,add_spm_B5_nechad_median,add_spm_B5_nechad_min,add_spm_B5_nechad_stdDev,add_spm_B6_nechad_max,add_spm_B6_nechad_mean,add_spm_B6_nechad_median,add_spm_B6_nechad_min,add_spm_B6_nechad_stdDev,add_spm_B7_nechad_max,add_spm_B7_nechad_mean,add_spm_B7_nechad_median,add_spm_B7_nechad_min,add_spm_B7_nechad_stdDev,add_spm_B8A_nechad_max,add_spm_B8A_nechad_mean,add_spm_B8A_nechad_median,add_spm_B8A_nechad_min,add_spm_B8A_nechad_stdDev,add_spm_B8_nechad_max,add_spm_B8_nechad_mean,add_spm_B8_nechad_median,add_spm_B8_nechad_min,add_spm_B8_nechad_stdDev,add_tur_B4_nechad_max,add_tur_B4_nechad_mean,add_tur_B4_nechad_median,add_tur_B4_nechad_min,add_tur_B4_nechad_stdDev,add_tur_B5_nechad_max,add_tur_B5_nechad_mean,add_tur_B5_nechad_median,add_tur_B5_nechad_min,add_tur_B5_nechad_stdDev,add_tur_B6_nechad_max,add_tur_B6_nechad_mean,add_tur_B6_nechad_median,add_tur_B6_nechad_min,add_tur_B6_nechad_stdDev,add_tur_B7_nechad_max,add_tur_B7_nechad_mean,add_tur_B7_nechad_median,add_tur_B7_nechad_min,add_tur_B7_nechad_stdDev,add_tur_B8A_nechad_max,add_tur_B8A_nechad_mean,add_tur_B8A_nechad_median,add_tur_B8A_nechad_min,add_tur_B8A_nechad_stdDev,add_tur_B8_nechad_max,add_tur_B8_nechad_mean,add_tur_B8_nechad_median,add_tur_B8_nechad_min,add_tur_B8_nechad_stdDev,add_tur_dogliotti_max,add_tur_dogliotti_mean,add_tur_dogliotti_median,add_tur_dogliotti_min,add_tur_dogliotti_stdDev,cloudiness_500m,platform,roi_coverage,station_id,system:time_start,timestamp,.geo
1_1_20171122T032029_20171122T033357_T48PWS_10,0.024213646661766258,0.019555921260670923,0.019555921260670926,2.9826179225389746E-5,0.003453991366130603,0.031927309284940475,0.02214679397897623,0.02233715777074314,-0.007307071358252199,0.003992652070946176,0.0421563448759331,0.03227142206223633,0.03228994603238614,-2.0284104287385097E-4,0.0044031041793770815,0.04869897138799719,0.03819965209202619,0.038267932971799486,-0.003018163960280939,0.0051946695916961,0.03460660973150657,0.03130508448927572,0.03130508448927572,0.004645171618743621,0.0039036016574368095,0.025984280205536385,0.018725156842967987,0.018725156842967983,0.01153396694323303,0.0012758479909427472,0.04203993040338553,0.022735944510454006,0.022735944510454013,0.01892684035652251,0.0022618323823053715,0.04661839507517164,0.016382417971060728,0.01638241797106073,0.013934801066209592,0.003340572298455691,0.048141127020895305,0.016155982444581,0.016155982444581,0.0016391107750234127,0.0028697654857219815,71.3839,-0.015706305705661016,-0.17685570306189577,-0.16464598016936355,-0.9676367602336262,0.06925918702890561,0.24440946743774083,0.08289719227329312,0.08348339485199494,-0.9287032709183342,0.03724330374671157,14.64487365323842,0.5401115928862237,0.5190851791022969,-4.263676012180456,0.3952961732740823,474.94901758956235,150.13260088204677,155.49726973161566,-3.1986005088076337,36.74634597758788,121.40079682913849,99.45988153949196,104.6151874065647,7.40911177589628,17.913455637837178,231.80121555810314,139.93786470735998,138.23893111563135,73.89171562932935,14.081906941094758,669.2334004864673,199.9974758563657,191.03161375801952,150.97496182948186,44.543150091109005,1415.3014358912558,208.70912849988173,189.60803353195382,164.06206935455273,99.97679127956576,1281.579498782403,162.49417585649903,154.04774467829586,12.562025868783016,59.632075045210385,377.65020240822446,119.3761962050727,123.55020569863846,-2.5433300940483905,29.218430783640205,86.48701374087901,70.85610939999683,74.41916812072166,5.27831751278792,12.761706054341522,160.04493197073873,96.61876010139393,95.35107505263143,51.01782823970089,9.722717945974777,484.154884320823,144.68757046093293,138.44723086647815,109.2223806025825,32.224607534484655,1004.5209960521346,148.132896872142,134.95699375014843,116.44430588641923,70.9592906581085,912.0127208839407,115.63602226118405,110.89141944541186,8.939537034798073,42.43608068450474,377.65020240822446,119.3761962050727,123.55020569863846,-2.5433300940483905,29.218430783640205,0.007069950006575723,SENTINEL-2,90.82797763120455,019803,1511321637210,2017-11-22T03:33:57.210,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
1_1_20180928T031539_20180928T033343_T48PWS_10,0.023928402941169664,0.019030210386183063,0.019030210386183063,2.764308614431221E-4,0.0032033256229630266,0.03128062952727353,0.02163217749571845,0.021756582776785906,-0.005819173402224044,0.0035664266071474674,0.04136001882867373,0.0320616715754272,0.0320616715754272,0.0014166503656370848,0.0038655852803105295,0.051356762427101944,0.04179671164142647,0.04179671164142647,0.0022214975862541587,0.004844958362372096,0.03930691462206985,0.03662919860573859,0.036629198605738586,0.009927158494230207,0.0035573539146126557,0.034811228534753734,0.02630144176325212,0.02630144176325212,0.016579643504786436,0.0012390189292613132,0.05291104653061108,0.03192658305725904,0.03192658305725904,0.025251828189267456,0.0019886468077702788,0.051877501401955885,0.023174308722547814,0.02317430872254782,0.019048477925309042,0.0030839978030068912,0.06628431091455685,0.02266387811334146,0.02266387811334146,0.007335110283676954,0.003010255971426654,52.4121,0.027061998197828396,-0.2616608208772782,-0.23665967997995863,-0.9394317659030336,0.06047947862585735,0.33202585537707047,0.13157718573260255,0.13734392613663973,-0.3352066810198027,0.030376162790588142,139.12443051866325,0.6261414235781958,0.5496849347275647,-8.466373839710553,3.2423597680487597,865.8655186376624,209.2451293876804,214.94639104910505,2.5880162736895382,51.2626396969027,169.84720978996236,142.88737364915204,148.2241549923241,17.518083980641574,21.891976785019963,408.473961809485,237.31188737682018,238.50463145337184,117.81112657793254,19.113658509517506,1584.1706428333641,358.9028011008791,349.9711956525796,233.27727855850154,84.65900547580557,2111.246654637884,339.2619457755309,318.0147535681332,248.02495170097265,138.32131141365986,50548.735269524805,291.2183592280592,240.3986676210219,61.5878255392159,1179.990509267711,688.4829239806844,166.3788376007986,170.95423178277605,2.0578311216536593,40.76089336023285,121.00067174706267,101.79424329137684,105.61614036830416,12.480039748668032,15.596040112370066,282.02693964402664,163.8497226152404,164.77395922380452,81.34156541485046,13.196842684815834,1146.0634716795496,259.64714854803486,254.9790668984207,168.76374331148097,61.24630207197856,1498.4734266824662,240.79375534471382,225.8135520402722,176.03760245713954,98.17460647808063,35972.08728307595,207.2402441075832,181.20876810584411,43.827854921766765,839.7187657862121,646.5133003803695,166.3320845697494,170.95423178277605,2.0578311216536593,40.2118667965427,3.64301189340917E-4,SENTINEL-2,90.89701827777135,019803,1538105623000,2018-09-28T03:33:43,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
1_1_20200321T031539_20200321T032851_T48PWS_10,0.022542110174756803,0.015465053104925262,0.01546505310492526,3.102473013259822E-4,0.0029845661519053985,0.0226004886589665,0.017556215593456864,0.0176472183037655,-0.0041707682003770405,0.0035383388338898055,0.03046504832410496,0.02281238908434678,0.02281238908434678,1.655305256969383E-4,0.004366550684321801,0.035550322926802984,0.015835215706147453,0.015864724375714203,-0.0015738295258155535,0.0032473832410411106,0.018034149477356955,0.012209025804209546,0.012209025804209548,0.004694080050485527,0.0017280202678448802,0.023732505509736445,0.00983866324801564,0.00983866324801564,0.006667285747824096,0.0020551473221811626,0.03495396359985433,0.011808954558064074,0.011808954558064076,0.007456267585743939,0.0032815476421336467,0.033311033600214,0.010331362078016786,0.01033136207801679,0.006319558508548258,0.00382236297658786,0.05190243226528741,0.008731950725077193,0.008737963173342463,-0.0018024952478462057,0.00391003869654971,8.7389,0.3502139750674488,0.17058226946592522,0.18803185734029887,-0.7073080356144784,0.11435856658702354,0.26028092229654387,-0.18217192755450112,-0.18651857999079438,-0.7985796922552741,0.051725420888330945,87.29785344887128,0.35632183149137053,0.3697701623389356,-18.909812497830163,2.124403757297042,112.37086123838313,25.411558192023143,27.375429198157796,-1.7104977638859775,6.955006645449607,38.03301710268353,22.723107432027497,23.544173424288786,7.493792181041127,3.9022234481371245,199.51156355097547,61.715677672825805,57.715200517351356,39.01051222375773,18.165789151307482,426.30272632263825,83.9852040131248,75.44162492896523,47.67297868838424,37.851043106182566,615.6178115481226,118.59298227385706,102.87428873004016,65.11553582443466,69.66310651592373,1727.3006530658683,79.48012481889202,70.04891900874813,-13.122588156526755,70.00922455075822,89.35038692539133,20.205705748020158,21.601050956725334,-1.36008245691032,5.530192863088111,27.09506163618003,16.18814502078722,16.8035361329301,5.338644590983735,2.7799788946528547,137.75085061142758,42.6109993034079,39.88126810703596,26.93443500700712,12.542395353345228,308.4074210856156,60.75884243685072,54.48308632052275,34.48887258963169,27.383222928167104,436.9394402926828,84.17227429965075,73.42844129980547,46.21624852916162,49.44392153562259,1229.2020665779087,56.560583998995824,49.840508192103385,-9.338450982591253,49.8207902281312,89.35038692539133,20.205705748020158,21.601050956725334,-1.36008245691032,5.530192863088111,0.28544301392283117,SENTINEL-2,90.77680616268849,019803,1584761713458,2020-03-21T03:35:13.458,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
1_1_20220917T031519_20220917T033145_T48PWS_10,0.022439376112325642,0.01815921004535065,0.01815921004535065,9.4429113236742E-5,0.002879580090901025,0.02688135176100015,0.021834615396145594,0.022010603351239517,-0.008045646757155168,0.0037693741392606363,0.041447581604440134,0.03554583408133617,0.03554583408133617,7.046099243923574E-5,0.004133278151986591,0.057843383446824284,0.051084334933072725,0.05111429047918419,-0.001071090192517923,0.005428161529528981,0.04784840258458855,0.04485733585763706,0.04485733585763705,0.013294744700429791,0.004016004991396026,0.043323637888950266,0.029827789570482155,0.029827789570482145,0.014547482263902657,0.0015707284022228123,0.059750653943384614,0.03582659945987784,0.03582659945987784,0.020347656568645494,0.002441886542529646,0.05875899548784675,0.025060774911489375,0.02506077491148938,0.012778923809050094,0.003561259002353406,0.07391981736829338,0.025523128414784494,0.025523128414784494,0.0076143365281092805,0.003255818968355936,16.3387679536564,-0.2508166824380392,-0.3489575827571686,-0.3356665749358748,-0.9953134088975024,0.06167356594640433,0.8261392563939897,0.18011481848067162,0.17937912135849773,-0.24713593178297086,0.031027624942139183,3.9674016876714915,0.60036048607171,0.5932045814091612,-2.398609097168542,0.1341525822603516,337206.792532052,1849.818577265759,1400.3407171427725,-180106.3412311135,12162.12414107877,357.19137192743455,280.2748364646253,291.4697528752061,25.167394180901415,51.562819669930825,730.5142842894194,298.69138100547553,298.848893361497,99.0178003415037,34.061222582074265,4012.464850202052,463.61135428116444,443.90180597078586,167.44389950783028,196.55091586656218,4312.90313077885,391.2122966923923,359.34576958780207,147.2649157202114,238.60412118101536,11739.639608423391,314.0594910060669,297.0684994570306,-5763.962715070336,364.6901242266775,268126.0698242071,1470.8617856887613,612.9063674158131,-143209.46817856838,9670.571942442715,254.4663288783018,199.67030090135827,207.3453000095776,17.929476767843596,36.733814025850535,504.3765998002161,206.22860686114413,205.62412271117168,68.36589308383448,23.51724531670312,2902.805589169373,335.3982354118283,323.2163738021767,121.1367838746721,142.1941670355258,3061.115914206717,277.66591340580015,252.12735685257132,104.52239789444165,169.35109609350633,8354.30082304474,223.49471974543525,211.00605524706666,-4101.819141020315,259.52508821455996,201234.9993217224,1245.9522991265944,630.5771344560316,-107189.42971921877,7254.847060645744,0.00948754899711722,SENTINEL-2,90.20661084153996,019803,1663385717299,2022-09-17T03:35:17.299,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
1_1_20221017T031719_20221017T033344_T48PWT_10,0.02002154987903162,0.01729086330606749,0.01729086330606749,7.77038627794666E-5,0.0030456291467747766,0.026472717262797194,0.020018444311295135,0.02019593684188969,-0.010026653052583698,0.0035640417563278562,0.034758350706897964,0.030269384139176004,0.03030625569648291,-0.0022888626896600925,0.003763163986866928,0.044905949945273055,0.04075143611012123,0.04082539254177966,-0.0038491081212641606,0.004734960984679878,0.03806876758818227,0.03576652968708023,0.03576652968708023,0.004740670293751585,0.0036584187776106695,0.031134596949056577,0.023649455006801334,0.023649455006801334,0.012322768442289191,0.00139099560676614,0.04300322084047255,0.028152979896484933,0.028152979896484933,0.02187684056431974,0.0016611529052498845,0.041218143223206945,0.01969764384499535,0.019697643844995352,0.013717700981671504,0.0027117734270030148,0.05064781180352886,0.02032372760802791,0.02032372760802791,0.0025437693445103334,0.002894373299328742,57.6963181940339,-0.04685198069348459,-0.28660642496876193,-0.2771546841247936,-0.9613007571248465,0.0644961945173203,0.4109316391494792,0.14820802486395826,0.14786963271303846,-0.4289789643837766,0.02464198461762536,3.1947148309920523,0.5060456300864828,0.5596577056738578,-105.7878571153689,2.484275326112373,273.4508635739577,187.9935475574761,195.58134458474592,-4.0216270802757785,39.73824234354195,155.03230940800222,134.81930067350717,140.7612087537904,7.57459931385458,21.401869278769485,322.9175640375874,199.06674686223784,198.7870912223967,80.17873215771436,18.82692488056563,714.205262770871,282.13418397430115,276.8971667414864,186.3744085944859,38.23445159875367,992.4844116101262,264.2027502217243,248.99323420719242,160.85192989566963,73.16587246465558,1555.7519631023026,223.03251222201575,218.28872457375525,19.76913659771037,83.21819182608424,217.43128241745484,149.4808888053615,155.71685300201995,-3.1977501260756824,31.597402476056043,110.44640417740528,96.04647592466813,100.31590596059931,5.396212315319468,15.246883140299385,222.95534319835323,137.44373118361563,137.25064562215297,55.35863866281135,12.99887019346402,516.6896423980055,204.10912411982952,200.411110744008,134.83200355486403,27.660598645269967,704.4233860251823,187.51991843017623,177.03469467289432,114.1658849049038,51.93003640170684,1107.1225641776352,158.71702731702143,154.01943060359596,14.06834618931849,59.220711338201006,217.43128241745484,149.4808888053615,155.71685300201995,-3.1977501260756824,31.597402476056043,0.0026382489189844677,SENTINEL-2,91.15043846535707,019803,1665977700307,2022-10-17T03:35:00.307,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
1_1_20231017T031721_20231017T033457_T48PWS_10,0.025194795799367453,0.021347673323183304,0.0213476733231833,4.237375887221019E-4,0.004103857679146627,0.028156660765322528,0.023984431421348446,0.02420821724777268,-0.006040564413202924,0.004715724387845509,0.037660578171132775,0.03373150876214221,0.03375066114892121,-6.051155774479653E-4,0.004913940275802714,0.045787985930248035,0.04090579326184331,0.041000498275288885,-0.002742972817936813,0.006155762180011033,0.03762425844091594,0.034899213581336574,0.034899213581336574,0.005862564249060629,0.004353262551104891,0.03975003837060747,0.024184060072198553,0.024184060072198563,0.017859650838426614,0.0020965012774486393,0.05563408497616799,0.029014440989039915,0.029014440989039908,0.02348180441233964,0.003309888569578592,0.06659705336335457,0.021421778409009787,0.021421778409009783,0.017514762361115373,0.005276843791009544,0.06987007484199051,0.020992363362704738,0.020992363362704738,0.0033494500573288412,0.004681011786159918,38.6513482038878,-0.014562098398761303,-0.19384365109251306,-0.1774084501558639,-0.9434190330627694,0.08339748482802453,0.21447523074186123,0.09272989761515174,0.09593133456970633,-0.9877167910500096,0.051369618276212566,8.275738695146028,0.5271233691266689,0.513290164224897,-3.0903569386131333,0.25151219849199274,305.5072737247334,197.8289313855394,210.49692170096475,-2.920810478388193,46.83577022724054,150.12106614351183,128.04608977887082,135.3151527615033,9.562757302190656,23.574678044469966,566.3537272684438,207.6868935469668,201.42290858765256,130.52095823660432,37.39683048630253,2137.219506346484,307.08204161086394,282.11574206913775,207.73378344952775,132.87676046874762,57699.75763509043,444.976596469846,283.17241808536954,221.0324432480778,2664.9624988213277,41475.8109271316,279.2704509368722,217.4344509144609,-11936.337986379609,1212.4481566701263,242.92056512691673,157.3013801757433,167.2605276167025,-2.3224485734436957,37.24091944863868,106.94759053865636,91.22117988860674,96.35799972882333,6.812593852734462,16.794811543440392,391.0335134948079,143.39542900544785,138.40805048329233,90.11694710676308,25.82028388717008,1546.1650032876867,222.15757645245623,206.01390826650115,150.2843788466394,96.12929143540902,40952.84336023325,315.8255355151938,192.01812296356076,156.87946356924053,1891.4774731870427,29515.505835150416,198.73773266769993,158.12998443732076,-8494.277643088866,862.8166597124899,242.92056512691673,157.3013801757433,167.2605276167025,-2.3224485734436957,37.24091944863868,0.12503529105595823,SENTINEL-2,92.88457962656784,019803,1697513714682,2023-10-17T03:35:14.682,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
1_1_20231027T031821_20231027T033021_T48PWS_10,0.021439699350620033,0.016899915060125115,0.016899915060125115,6.104362743426146E-4,0.0028244997073739904,0.03134541569215734,0.019833086101802386,0.019882757948790325,-0.003301096137124659,0.0035145962776225743,0.034817828721286,0.030352588366712452,0.030352588366712452,0.0019474782798549553,0.004387818033965776,0.042662005037673464,0.038250906974057586,0.03827307682395182,-4.375676654866838E-4,0.005582786314854201,0.03484047519980531,0.03191089751407177,0.03191089751407177,0.008189106714076494,0.004134909877912955,0.03268847036448369,0.018224245788950138,0.018224245788950138,0.010347653424327646,0.001942749449898648,0.047173419702295924,0.02179325282583448,0.02179325282583448,0.013277842076709175,0.0027834506397355465,0.044936525062375964,0.014639222008469203,0.014639222008469203,0.008863975098207216,0.0035568866116118913,0.06702905835884264,0.015210214763905182,0.015210214763905182,0.0019788132716412514,0.0036410389037692986,23.3636119322763,0.046338186573503685,-0.24059582424344475,-0.22452156823309494,-0.9913344997514515,0.07521668963982828,0.271083835624104,0.11206942568839705,0.11191442485858714,-0.7358618897276316,0.049504777160534946,6.972284187229997,0.5633404226745548,0.550382898994542,0.2598880021952648,0.21618684729540658,212.55358006861337,152.22102081655143,163.3122442201095,-0.4853117799172737,36.98553365962725,123.3762176084866,104.02282198964684,110.86398165620821,13.962345167953256,19.74305480895136,356.5278192874482,135.25579688886353,132.65858712480681,64.79241983323047,22.474598578753227,964.1717688535774,188.88419102019816,181.13971378773982,94.40289808396574,57.59299556344904,1261.7450972571562,180.91339856029072,165.83662419245655,95.30799172125299,93.62926070987768,4576.506289062263,-63.63268690015648,149.17945684457973,-379093.7673976882,8888.193567279564,169.00951378506153,121.03677909243554,129.7930746208344,-0.3858900326755447,29.408618094679575,87.89432117666092,74.1067889978154,78.8839813953952,9.94689960804138,14.065128871860628,246.1612224342833,93.38607116277282,91.7232199076834,44.73530649725887,15.517371606295645,697.5271570058859,136.64769807804217,131.18963845494235,68.29549177935432,41.66547886647961,895.5332127268755,128.40466540367726,116.87617878252652,67.64557453817048,66.45408239035892,3256.7873914927586,-45.283043285339915,106.68008558870356,-269775.1786783315,6325.12115459027,169.00951378506153,121.03677909243554,129.7930746208344,-0.3858900326755447,29.408618094679575,0.22331941454749538,SENTINEL-2,90.41373302054909,019803,1698377715454,2023-10-27T03:35:15.454,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
1_1_20240110T032119_20240110T032946_T48PWS_10,0.025643596802144883,0.023585814025975118,0.023585814025975118,0.0022286035550622557,0.004112450814183181,0.02713433357983535,0.024703874459308894,0.02470387445930889,0.0012852451851568644,0.004209094060623107,0.03167373457844759,0.029282710534057798,0.029282710534057798,0.004716858515138109,0.00421775301530693,0.027150038987429178,0.02403535259930611,0.02403535259930611,2.2078559392702606E-4,0.0035201101522340066,0.02324649257085884,0.020053194360622816,0.020053194360622816,0.003421850954819218,0.0025582306717895514,0.02610374649054254,0.02005015795445858,0.02005015795445858,0.014897892394364289,8.481578720473169E-4,0.03827605310109263,0.02393831534121349,0.02393831534121349,0.020381954131086438,0.0018532763271948119,0.04296384662248221,0.021337638968505265,0.021337638968505265,0.019152167112563522,0.00285168910557276,0.0461807975810561,0.01849928963947196,0.01849928963947196,0.006823746464023821,0.002380496197476066,39.3824539400997,0.14586286569999177,0.09414219635884548,0.10378528765207218,-0.6385096357045187,0.07363316829176164,0.04367273138789073,-0.10087005548266927,-0.09724760102624622,-0.9105704708358059,0.04221281440458072,0.7335977789238535,0.3717367508191299,0.3623618836972729,0.3396386635572997,0.03627238519254408,59.937000895834686,48.730049371264734,50.943807811394606,0.24781885132605982,8.708012712026665,56.057208677468246,44.90488208934515,46.46234020452903,5.339022724357554,6.897410452474864,233.62500961554258,154.23063783640347,153.25480385834155,102.14461147082487,9.870166919997478,524.3049030338395,215.65445836992075,208.43299527192966,167.85434064726667,34.00162180072494,1108.6592887101979,297.16841275233736,276.78802483050765,249.91185240962892,87.68073430946768,1113.302331867079,193.53606808304357,185.95809262339125,56.80690416059471,49.706786070605915,47.65821105374856,38.747133538286846,40.55446135110734,0.19705028518395004,6.924075303829778,39.935656962672034,31.990639729982135,33.07627139363372,3.8035675529729875,4.913776912184235,161.30415313206336,106.48706858978326,105.71972912590039,70.52476991833545,6.814762336117881,379.30680012783057,156.01456721894496,150.49249700177373,121.43371627858363,24.598370699492175,786.8793917221658,210.91754901331564,197.00137150602396,177.37684463639818,62.23207037705356,792.2613383072882,137.72641978846565,133.00787348856235,40.42559925289014,35.372929462212795,47.65821105374856,38.747133538286846,40.55446135110734,0.19705028518395004,6.924075303829778,0.0,SENTINEL-2,90.20661085732979,019803,1704857713791,2024-01-10T03:35:13.791,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
1_2_1_LC08_126052_20130501_10,0.01098635157004342,0.008239445264492606,0.008239445264492606,0.0010824054133669076,0.0015906569715000785,0.013524820036828911,0.011474420175671865,0.011474420175671865,4.7176571321500856E-4,0.0024004429693604405,0.02127703241749149,0.017783993487625556,0.017783993487625556,3.7221045382345716E-4,0.004082869936053152,0.017388340264108307,0.01112149698869932,0.01112149698869932,7.844718801153321E-5,0.002772165577257197,0.07652942263865008,0.011933366891016295,0.011933366891016295,0.0020092333949323997,0.01317011729526484,,,,,,,,,,,,,,,,,,,,,18.78,0.7324034939873598,0.20305286169235695,0.188153628815901,-0.953368700175567,0.27607568232999147,0.3072574093247532,-0.22566764612171936,-0.21876658042323835,-0.6518546198745838,0.09075311610097654,0.9568372550751513,0.4540179576663205,0.43939742630868966,0.339082266202457,0.08907628220570071,23.37746025005557,12.945626353224315,13.567219205167882,0.07139963049036574,3.5670988521590123,3356.916440742457,-1021.311084345144,126.83331843065979,-482756.4210067077,29918.499217884386,,,,,,,,,,,,,,,,,,,,,19.016156611162074,10.530487723186926,11.059744968011628,0.05807930120983395,2.901620180061744,2382.597064628071,-724.8833370111105,98.18881925037346,-342640.0543251352,21234.883165230833,,,,,,,,,,,,,,,,,,,,,19.016156611162074,10.530487723186926,11.059744968011628,0.05807930120983395,2.901620180061744,0.21822316528341074,LANDSAT-8,91.0156062586821,019803,1.367378508717E12,2013-05-01T03:21:48.717,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
1_2_1_LC08_125053_20130526_10,0.00884146247568102,0.0077703059131221984,0.0077703059131221984,1.4452056090963496E-4,0.0012283308852174414,0.012967490631502978,0.011570839285494502,0.011570839285494502,9.823844210549218E-4,0.001932205207539152,0.02043365810436825,0.01806677719991414,0.01806677719991414,2.9196379202098895E-4,0.0041813233215002065,0.012005600332327967,0.010244047937277356,0.010244047937277356,2.910773733096446E-8,0.002014366773369803,0.11323365702739883,0.01429353937035109,0.01429353937035109,0.0010400816019041708,0.016305852048466372,,,,,,,,,,,,,,,,,,,,,29.91,0.2401402597389391,0.08314158729999166,0.15136111067204472,-0.8885386612669249,0.17673799609668028,0.21817230826690864,-0.27812583420855064,-0.28493282538101555,-0.9999710484613422,0.08580498747557296,0.9059255728167626,0.44502854054491753,0.431947164909844,0.4076889121798925,0.06233475325089511,14.055313239329946,11.627650847005992,12.292981605806926,2.6454038234733906E-5,2.435010643833799,7812.678184788919,-1342.3486267112933,118.00318471542765,-240599.95099013936,17942.482050034203,,,,,,,,,,,,,,,,,,,,,11.433151202872976,9.45839398982837,9.936156025545998,2.1518767594447036E-5,1.980734573289623,5545.107969933513,-952.7421829428912,92.18098673564543,-170767.65153319578,12734.81357644347,,,,,,,,,,,,,,,,,,,,,11.433151202872976,9.45839398982837,9.936156025545998,2.1518767594447036E-5,1.980734573289623,0.16005300242629342,LANDSAT-8,90.33027497317148,019803,1.369538177749E12,2013-05-26T03:16:17.749,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24744033939942,10.800093074558227],[105.24980567092625,10.800093074558227],[105.24980567092625,10.806820925445829],[105.24744033939942,10.806820925445829],[105.24744033939942,10.800093074558227]]]}"
