system:index,B1_max,B1_mean,B1_median,B1_min,B1_stdDev,B2_max,B2_mean,B2_median,B2_min,B2_stdDev,B3_max,B3_mean,B3_median,B3_min,B3_stdDev,B4_max,B4_mean,B4_median,B4_min,B4_stdDev,B5_max,B5_mean,B5_median,B5_min,B5_stdDev,CLOUD_COVER,add_ndssi_max,add_ndssi_mean,add_ndssi_median,add_ndssi_min,add_ndssi_stdDev,add_ndti_max,add_ndti_mean,add_ndti_median,add_ndti_min,add_ndti_stdDev,add_nsmi_max,add_nsmi_mean,add_nsmi_median,add_nsmi_min,add_nsmi_stdDev,add_spm_B4_nechad_max,add_spm_B4_nechad_mean,add_spm_B4_nechad_median,add_spm_B4_nechad_min,add_spm_B4_nechad_stdDev,add_spm_B5_nechad_max,add_spm_B5_nechad_mean,add_spm_B5_nechad_median,add_spm_B5_nechad_min,add_spm_B5_nechad_stdDev,add_tur_B4_nechad_max,add_tur_B4_nechad_mean,add_tur_B4_nechad_median,add_tur_B4_nechad_min,add_tur_B4_nechad_stdDev,add_tur_B5_nechad_max,add_tur_B5_nechad_mean,add_tur_B5_nechad_median,add_tur_B5_nechad_min,add_tur_B5_nechad_stdDev,add_tur_dogliotti_max,add_tur_dogliotti_mean,add_tur_dogliotti_median,add_tur_dogliotti_min,add_tur_dogliotti_stdDev,cloudiness_500m,platform,roi_coverage,station_id,system:time_start,timestamp,.geo
1_2_1_LC08_126052_20130821_12,0.009274884099314169,0.007818665094105186,0.008222051761894469,4.0819261960233644E-4,0.0014680789367637914,0.014956392340229734,0.012572569618644272,0.01379804093070528,0.0010622797183784617,0.003450945327670146,0.03188835394607394,0.026571400623723325,0.029674078898026573,6.925047644285872E-4,0.0073440247315503995,0.04703127869815047,0.03927396910686363,0.043807333133254266,0.0018958085550189571,0.010991992133942282,0.06284394255440609,0.023867710284222486,0.02459237642517493,0.0026626830652507795,0.007704936876366597,16.9,-0.24984912174952306,-0.3359251835189306,-0.2810167541175224,-0.929659442583106,0.1527400466626681,0.871530925959234,0.21174577172884035,0.1924371736767579,-0.04111089858026246,0.0876972152209188,0.9529278998635172,0.7029316527382579,0.6853695662904438,0.6716690055321147,0.0572754182935342,345.6898094617757,187.76742720265665,216.7072813189483,1.7860635933364226,92.98009430400086,8820.033864270354,422.53789754944813,361.75528173959293,25.88413631100885,969.1226592649155,281.1978497789245,152.73749859770174,176.27832776789697,1.4528552137437412,75.63370939755067,6260.086351831527,299.8994976987778,256.7585722198741,18.371463300826914,687.8422039955349,281.1978497789245,152.73749859770174,176.27832776789697,1.4528552137437412,75.63370939755067,0.0,LANDSAT-8,90.03422531502004,039801,1.377055323526E12,2013-08-21T03:22:03.526,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
1_2_1_LC08_126052_20130906_12,0.013950879266227248,0.011608660699128807,0.012926989384524955,9.673902753784724E-5,0.0033939772105509407,0.017192800102267623,0.013873550264165958,0.015912266705430955,4.000780631533608E-4,0.004652218302802753,0.030420370288464532,0.024765584719670792,0.028889878861031514,2.2027601112921264E-4,0.008159087948604192,0.043956282430344995,0.035207021585029516,0.04180489305070938,0.0016217910998299935,0.012531951851663541,0.06661422516977998,0.02486110442136715,0.025935682604102086,0.001234302480033796,0.00867580602446237,23.14,-0.19167712773025158,-0.3199193972687423,-0.24511385637307856,-0.9843667786244238,0.18760890481857467,0.8939138367118665,0.1936033067541616,0.18308949471387764,-0.10356273035033955,0.08635363601856796,0.9486013443777817,0.6561418581390227,0.63222981174177,0.5881307557045957,0.0679886423060428,220.77939062836253,137.80677609233504,171.89156249104974,1.5198641034507874,73.04256136759155,59113.819969546275,1132.9999377455079,393.8983576528023,11.739412770986029,5902.8623270447215,179.59074355375668,112.09751650609519,139.82343836770656,1.236317953693661,59.41572657548367,41956.48489458448,804.1553531487907,279.57236567312776,8.332137812290123,4189.601588715677,179.59074355375668,112.09751650609519,139.82343836770656,1.236317953693661,59.41572657548367,0.24912092496573127,LANDSAT-8,97.0016244557473,039801,1.378437723343E12,2013-09-06T03:22:03.343,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
1_2_1_LC08_126052_20131008_12,0.01293042103047197,0.011094734410751888,0.012031965978642518,0.0013865506946071774,0.002507223730087968,0.017391324520699768,0.014217559629336086,0.015682737459413218,5.457760345047954E-4,0.0038700872535307527,0.02951684658968905,0.025271797202986796,0.02712742881358526,0.0024681930818024646,0.0055991316208743105,0.03550905074594798,0.029965811167359236,0.033370877245315796,0.0012244287489856503,0.008702255866413806,0.06501499594243018,0.014730978387058944,0.013984136252065545,0.001033808992917291,0.008462273758675703,37.18,0.15064944053880247,-0.02313228415341023,0.055514837663404634,-0.9178109646637169,0.22692295663930248,0.5034826471598401,0.10718392013799642,0.1020062940874572,-0.25438772884279354,0.05977288179032531,0.9609887260197837,0.6154021648759045,0.591421555289546,0.5778020889066048,0.07519306651581713,95.38105827200175,69.97271845776798,80.19449052033325,1.1387808235456853,26.43856865486681,17709.74513190036,242.8440791179905,164.7952055435471,9.802786456158127,1767.1355267112642,77.58674904962996,56.918594170147465,65.23339040148231,0.9263296463644463,21.506184022480138,12569.626772492631,172.36043859967526,116.9646548920335,6.957602504533131,1254.2379272958665,77.58674904962996,56.918594170147465,65.23339040148231,0.9263296463644463,21.506184022480138,0.013931104356636288,LANDSAT-8,92.21184265056232,039801,1.381202514829E12,2013-10-08T03:21:54.829,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
1_2_1_LC08_126052_20151201_12,0.018198590739315033,0.015265657112066865,0.01738957220870814,7.584712110520474E-5,0.0041599589260818476,0.021259005897940882,0.017617298255773333,0.020538747697330162,3.3894014437571356E-4,0.00553683067387949,0.03230014716813675,0.026542733780892544,0.03128396925806004,0.001948758895447656,0.009354271104851482,0.0323116562392731,0.025584345715406732,0.03054511834787632,1.2301239276824586E-4,0.009407124192668271,0.08499259698778222,0.012553353353802778,0.009075350372481073,0.0015391403068438616,0.01216824478663527,32.21,0.5011175292860826,0.22834851693024913,0.3901701672600898,-0.9811913342635395,0.34834977659049043,0.313971748751244,-0.023395095196998682,-0.009061986027926261,-0.9565402175507153,0.11429863962084898,0.9708928856146407,0.5331957562535907,0.5064392992496214,0.48546225467630355,0.08564297902048157,73.79767725524353,51.7232144813534,64.43305907493831,0.112054361905266,23.85871644207937,3043.378225852418,110.13626790676426,97.73259508776546,-5032.373609964131,677.8028657417825,60.02996789278546,42.073721289197955,52.4124147447699,0.09114947783728161,19.407629552179852,2160.0609236091695,78.17005673388445,69.36645528272136,-3571.76557798395,481.0757571182463,60.02996789278546,42.073721289197955,52.4124147447699,0.09114947783728161,19.407629552179852,3.824224725351138E-4,LANDSAT-8,93.18835267411023,039801,1.448940010478E12,2015-12-01T03:20:10.478,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
1_2_1_LC08_126052_20161101_12,0.01695165172422091,0.007252599303690133,0.007224505787180891,2.61036031936483E-4,0.005025414068820373,0.020928262123585586,0.010398203070939242,0.010363911555328936,6.566883604031338E-4,0.004771544851574624,0.03581528704935592,0.0204137515379717,0.02018717396959109,3.872741489708319E-5,0.008053799433865316,0.04055286453222893,0.02269856901509212,0.02258891307446785,1.4522308082278387E-4,0.009581158841433469,0.08246410157411058,0.0491579825679955,0.05625903811653266,0.008692340147553552,0.02524696455003199,65.89,0.19648850925393732,-0.5676539652846987,-0.7073993739923377,-0.9236279708210992,0.3203911947176995,0.9091823869702816,0.03906265477536356,0.0297997211081368,-0.9093001791069404,0.14890288556087716,0.918092447910109,0.5996512650847421,0.6458986411413984,0.009252061312399928,0.1676464461344819,150.8242980960964,45.91634437906362,35.451237091311945,0.13234140292752464,31.941679731615448,41404.09621412681,-2672.4480376052006,156.97789424466438,-103044.6030479295,14759.049948517759,122.68648701293999,37.35018202938658,28.837447240926156,0.10765176444711223,25.982633601036156,29386.87329421231,-1896.7903914703672,111.41625853401084,-73136.69347499775,10475.348345656172,122.68648701293999,37.35018202938658,28.837447240926156,0.10765176444711223,25.982633601036156,0.0,LANDSAT-8,99.17924195340902,039801,1.477970422471E12,2016-11-01T03:20:22.471,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
1_2_1_LC08_126052_20211115_12,0.015791562683246,0.010321931002009423,0.010544792085664941,0.0016936358849684076,0.00345941807300136,0.01876435238263581,0.012716635295262896,0.013789568128648953,8.974826744432399E-4,0.004366825241045303,0.029092299654525297,0.021116857626433453,0.023556558490075093,6.596201543013825E-4,0.007760395213704583,0.03217653499098108,0.023040349675828836,0.02622807329256047,3.087862611616019E-4,0.008901400186266747,0.08534778368123935,0.023737000296367272,0.020698098545936197,0.014324381931550691,0.011654436064409301,47.38,0.04984406470814518,-0.26493332435714406,-0.19709629522158506,-0.9419299724110128,0.23395218053216305,0.6696304073621652,0.05712836173591817,0.04763629498292091,-0.2938252751220508,0.11907202990298157,0.8930025539284079,0.6026770513843642,0.5749024439911402,0.5229818360772123,0.08025575738793929,73.02700795240656,41.924530735598054,46.621851833656315,0.2822586742891848,20.443983940239438,3992.44422552944,-17.781152497411057,277.18515156937485,-26492.320415934537,2692.176528950035,59.40307480853231,34.10308193404866,37.9240698727782,0.22960043981378878,16.62995022578435,2833.6677603848425,-12.620308695162532,196.73427687154845,-18803.126611108444,1910.792838775057,59.40307480853231,34.10308193404866,37.9240698727782,0.22960043981378878,16.62995022578435,0.16156107833204222,LANDSAT-8,91.11815153196832,039801,1.636946422543E12,2021-11-15T03:20:22.543,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
2_LE07_126052_20001215_12,0.011011260455146417,0.007182669788919972,0.0073828459025551555,6.995522136694235E-4,0.0019567921874036943,0.019989046278707658,0.015495101643694812,0.01611100769323747,5.794669412291792E-4,0.0035964884808576615,0.02311260884798906,0.017523763697522076,0.018638951765916578,8.144296621778837E-4,0.0038595502430730194,0.015507444277715658,0.01165815815069806,0.011665102736252108,0.0033191931650830447,0.001648280529202175,,,,,,41.0,-0.031105780716019226,-0.26040861747787813,-0.2333455828207004,-0.8713449728493021,0.15146704487358953,0.7078889055010567,0.08537508284141615,0.05973057088049372,0.004456711896804452,0.0939021863375359,0.9250402721180161,0.6632539019520542,0.6539511745644011,0.5667616788599212,0.06246692192165177,150.89386300803758,106.01521444932726,105.61616915026235,26.109811023291407,17.2263825949647,,,,,,107.38087079061076,75.44379749901238,75.15982417601377,18.580571720865656,12.25884159066855,,,,,,34.35914745590653,22.77380014858586,24.27281173878669,0.7098843700760002,5.923018029917289,0.003799392097264442,LANDSAT-7,98.07090306943803,039801,9.76849825877E11,2000-12-15T03:10:25.877,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
2_LE07_126053_20010116_12,0.021773726877986115,0.017349743914406926,0.018318216902942056,0.0023473649106442664,0.004162772600760648,0.0323883938327229,0.025602653983516806,0.02708602821946852,0.0011981018509400689,0.005764382393014716,0.03653435612813057,0.026151577205132167,0.026442626815771416,9.076145058201562E-4,0.0066690929952881685,0.016497261603529798,0.010353843394036843,0.01029303595018524,6.754466841926055E-4,0.002455069953386051,,,,,,11.0,0.3751211019014877,0.23878866322924966,0.2605143545370189,-0.6394448254838488,0.1475050487963472,0.5729318630721061,0.022790455140911235,0.010894751361281941,-0.10854513343558392,0.07399873837024643,0.830310550017002,0.5135974083591184,0.5031312440446843,0.45746425093176135,0.06181060199925799,163.6750810715481,92.76743088515886,90.93618818889487,5.101293695219061,25.255100549871234,,,,,,116.47639196068867,66.01625348358633,64.71308295409105,3.6302427960380133,17.972332571306588,,,,,,94.40184919512949,48.71551274685993,47.69359032051579,0.7924774183864611,19.671904422035286,0.0,LANDSAT-7,91.07420856305401,039801,9.79614654082E11,2001-01-16T03:10:54.082,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
2_LE07_126053_20010422_12,0.018890018229026757,0.015187551344903957,0.015933221704054215,0.0018220451266414063,0.0028886031850840154,0.024419128669228417,0.019760321359654692,0.02062982524087301,0.0013688157566586346,0.004242486330947253,0.020388762129014738,0.015474592328365585,0.016221877300275668,3.702973722900894E-4,0.003631827112728437,0.017005223559008274,0.009712309632949124,0.010169394823469386,2.4742657143183753E-4,0.0022992129043946925,,,,,,5.0,0.3356926878986317,0.18847683541292887,0.2094727223391783,-0.4023997266020294,0.11751728550208908,0.14301842818379512,-0.11187436147495297,-0.11947166968677715,-0.16608967839695257,0.041250024601740216,0.7715794733790223,0.4164077596668927,0.4097235722758411,0.3645480690530392,0.051699711807916306,170.4309813542444,85.8861162286842,89.64818264305325,1.8566900669101063,22.748278653348542,,,,,,121.2841054148258,61.11929117334919,63.79649725379491,1.321279687580566,16.18839840195442,,,,,,27.904914618918582,18.951004636355478,19.798732894426117,0.32012601488763703,5.147136534233795,0.0,LANDSAT-7,95.89816828430632,039801,9.87909031059E11,2001-04-22T03:10:31.059,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
2_LE07_126052_20010508_12,0.017192522847156836,0.011081448631856852,0.011404017752592841,0.003462586745135403,0.002040849062659147,0.02194831981822319,0.016335536068688917,0.01694306249131305,0.003514827362497103,0.0032816563373238472,0.018163555790938837,0.0124611109743336,0.012981382951121818,0.0027597591882464437,0.002649876861190107,0.016632153223832623,0.011059878032645614,0.011105655305770717,0.0026843126242577005,0.002152792799946404,,,,,,14.0,0.10020156900858578,-0.017717521046103458,0.006066742184224591,-0.6115299592172607,0.09374761014111524,0.03499408187578235,-0.13605629819147197,-0.1335508517530458,-0.26601806861015487,0.039321690220266846,0.6670575875091761,0.4606058101100157,0.4543909665266457,0.3772773386049226,0.043511337631244505,165.4558371391657,99.8468395057025,99.54342930112247,20.907010238775175,22.150671745356473,,,,,,117.74363459994869,71.05418575731994,70.8382694084037,14.878093252528826,15.763122324508855,,,,,,23.346096667875152,14.05124881384895,14.6135768203238,2.4955626265115205,3.4754804481336063,0.0,LANDSAT-7,97.10904071234113,039801,9.89291402354E11,2001-05-08T03:10:02.354,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1329855144116,10.70476507401089],[105.13468448997357,10.70476507401089],[105.13468448997357,10.708269925990292],[105.1329855144116,10.708269925990292],[105.1329855144116,10.70476507401089]]]}"
