,geometry,station_id,station_name
0,POINT (106.39220569493087 14.11961739545873),430102,Siempang
1,POINT (107.78237137912318 12.897991717109619),451305,Ban Don
2,POINT (106.5278998223061 13.553039642985812),450101,Lum Phat
3,POINT (107.47041987706022 13.940093424442852),440202,Pleiku
4,POINT (107.10639453530615 14.050489408398247),440103,Andaung Meas
5,POINT (107.44760623609672 13.792268298200513),440100,Phum Pi
6,POINT (105.987503299606 13.537303972542501),014501,Stung Treng
