,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-06-04 17:00:00+00:00,8517.73,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
1,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-06-19 17:00:00+00:00,11552.0,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
2,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-07-09 17:00:00+00:00,24221.83,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
3,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-07-14 17:00:00+00:00,21734.4,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
4,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-07-20 17:00:00+00:00,24270.14,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
5,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-07-27 17:00:00+00:00,29556.23,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
6,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-08-04 17:00:00+00:00,36623.0,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
7,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-08-13 17:00:00+00:00,39949.24,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
8,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-08-19 17:00:00+00:00,36741.26,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
9,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-08-26 17:00:00+00:00,35637.0,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
10,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-08-31 17:00:00+00:00,34476.0,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
11,Discharge.Measured DSMP@KH_019801_[Chroy Chang Var],019801,Chroy Chang Var,Discharge,2011-09-08 17:00:00+00:00,32653.0,Mekong,11.5874,104.93842,m^3/s,KH,Cambodia,Unknown,7,9 days
